element=21
l=0 n=21
  1.8944514999999999e+03 -2.6100000000000000e-04
  6.1518748000000005e+02 -1.4820000000000000e-03
  2.3492741000000001e+02 -6.3569999999999998e-03
  9.9213752999999997e+01 -2.1477000000000000e-02
  4.4916139999999999e+01 -5.7133999999999997e-02
  2.1249717000000000e+01 -1.1046599999999999e-01
  1.0330458000000000e+01 -1.4814700000000000e-01
  5.1049799000000000e+00 -5.5426000000000003e-02
  2.4406903999999998e+00  2.4556200000000000e-01
  1.1512050000000000e+00  4.7571300000000000e-01
  5.2955560000000002e-01  3.5942600000000002e-01
  2.2119000000000000e-01  7.6616000000000004e-02
  8.7999999999999995e-02 -1.3159999999999999e-03
  3.5000000000000003e-02  2.1069999999999999e-03
  1.4000000000000000e-02  0.0000000000000000e+00
l=1 n=16
  7.9998045000000002e+03  9.0000000000000002e-06
  1.8944514999999999e+03  7.7000000000000001e-05
  6.1518748000000005e+02  4.4700000000000002e-04
  2.3492741000000001e+02  1.8749999999999999e-03
  9.9213752999999997e+01  6.4859999999999996e-03
  4.4916139999999999e+01  1.6879000000000002e-02
  2.1249717000000000e+01  3.3783000000000001e-02
  1.0330458000000000e+01  4.3557999999999999e-02
  5.1049799000000000e+00  1.8780000000000002e-02
  2.4406903999999998e+00 -9.2049000000000006e-02
  1.1512050000000000e+00 -1.6002700000000000e-01
  5.2955560000000002e-01 -2.0824699999999999e-01
  2.2119000000000000e-01  2.3960000000000001e-01
  8.7999999999999995e-02  7.4982800000000005e-01
  3.5000000000000003e-02  1.7260600000000001e-01
  1.4000000000000000e-02  0.0000000000000000e+00
l=1 n=16
  7.9998045000000002e+03 -2.7500000000000002e-04
  1.8944514999999999e+03  2.7599999999999999e-04
  6.1518748000000005e+02  8.0000000000000004e-04
  2.3492741000000001e+02  3.8990000000000001e-03
  9.9213752999999997e+01  1.2311000000000001e-02
  4.4916139999999999e+01  3.5083999999999997e-02
  2.1249717000000000e+01  6.2687999999999994e-02
  1.0330458000000000e+01  1.0123600000000001e-01
  5.1049799000000000e+00  1.8794999999999999e-02
  2.4406903999999998e+00 -1.6096900000000000e-01
  1.1512050000000000e+00 -6.0822699999999996e-01
  5.2955560000000002e-01  1.1163600000000000e-01
  2.2119000000000000e-01  1.3650389999999999e+00
  8.7999999999999995e-02 -6.5599600000000002e-01
  3.5000000000000003e-02 -4.6952800000000000e-01
  1.4000000000000000e-02  0.0000000000000000e+00
l=1 n=16
  7.9998045000000002e+03 -9.6000000000000002e-04
  1.8944514999999999e+03  4.3610000000000003e-03
  6.1518748000000005e+02 -1.4982000000000001e-02
  2.3492741000000001e+02  1.4487999999999999e-02
  9.9213752999999997e+01  1.3575000000000000e-02
  4.4916139999999999e+01  3.8995000000000002e-02
  2.1249717000000000e+01  9.2579999999999996e-02
  1.0330458000000000e+01  1.1351100000000000e-01
  5.1049799000000000e+00  1.1715900000000000e-01
  2.4406903999999998e+00 -4.6187099999999998e-01
  1.1512050000000000e+00 -1.1103390000000000e+00
  5.2955560000000002e-01  2.3649510000000000e+00
  2.2119000000000000e-01 -1.1476610000000000e+00
  8.7999999999999995e-02 -6.8412300000000004e-01
  3.5000000000000003e-02  1.1124400000000001e+00
  1.4000000000000000e-02  0.0000000000000000e+00
l=1 n=16
  7.9998045000000002e+03  0.0000000000000000e+00
  1.8944514999999999e+03  0.0000000000000000e+00
  6.1518748000000005e+02  0.0000000000000000e+00
  2.3492741000000001e+02  0.0000000000000000e+00
  9.9213752999999997e+01  0.0000000000000000e+00
